slice,percent,common,1cee_B.pdb,2k42_A.pdb,noise 
1,0.0,20,5,58,4 
3,0.0006249999999999867,24,4,64,2 
5,0.00187499999999996,26,4,64,2 
7,0.0050000000000000044,26,4,67,2 
9,0.007499999999999951,29,4,68,2 
11,0.012499999999999956,29,4,73,2 
13,0.02562500000000001,30,4,76,2 
15,0.04249999999999998,30,4,79,2 
17,0.06625000000000003,32,4,81,2 
19,0.083125,32,4,84,2 
21,0.11750000000000005,34,4,88,2 
23,0.14625,34,5,89,3 
25,0.20687500000000003,35,5,92,3 
27,0.26875000000000004,36,5,95,4 
29,0.31625000000000003,35,5,102,4 
31,0.37687499999999996,36,7,104,6 
33,0.441875,39,8,111,7 
35,0.49,43,8,119,7 
37,0.5487500000000001,45,8,125,9 
39,0.578125,48,8,139,10 
41,0.6231249999999999,50,8,148,11 
43,0.645625,52,8,165,16 
45,0.6756249999999999,55,9,179,17 
47,0.705625,59,10,197,21 
49,0.7224999999999999,66,10,208,27 
51,0.73875,68,12,218,33 
53,0.75,73,12,237,34 
55,0.759375,76,12,256,37 
57,0.7675,77,13,264,38 
59,0.78125,82,13,272,39 
61,0.790625,82,13,277,41 
63,0.799375,85,13,283,42 
65,0.8075,86,16,287,41 
67,0.816875,86,16,291,42 
68,0.828125,86,16,293,42 
69,0.8375,86,16,294,42 
70,0.84625,86,16,295,42 
71,0.854375,86,16,296,42 
72,0.870625,86,16,296,42 
