slice,percent,common,1cee_B.pdb,2k42_A.pdb,noise 
1,0.0,20,5,58,4 
2,0.0006249999999999867,20,5,61,5 
3,0.00187499999999996,20,6,63,6 
4,0.0050000000000000044,22,6,64,6 
5,0.007499999999999951,22,6,68,6 
6,0.012499999999999956,24,6,72,6 
7,0.02562500000000001,25,7,74,6 
8,0.04249999999999998,25,7,77,7 
9,0.06625000000000003,25,7,82,7 
10,0.083125,25,7,89,7 
11,0.11750000000000005,25,7,96,7 
12,0.14625,28,8,105,7 
13,0.20687500000000003,33,8,112,8 
14,0.26875000000000004,35,8,119,9 
15,0.31625000000000003,36,8,134,12 
16,0.37687499999999996,38,8,143,14 
17,0.441875,43,8,160,18 
18,0.49,48,8,171,23 
19,0.5487500000000001,54,8,190,26 
20,0.578125,57,8,209,30 
21,0.6231249999999999,64,8,220,33 
22,0.645625,67,8,237,38 
23,0.6756249999999999,71,10,253,43 
24,0.705625,71,10,264,44 
25,0.7224999999999999,71,11,278,44 
26,0.73875,69,12,284,46 
27,0.75,71,13,290,48 
28,0.759375,70,14,296,49 
29,0.7675,70,15,298,52 
30,0.78125,70,14,301,52 
31,0.790625,70,14,303,52 
32,0.799375,70,14,303,53 
33,0.8075,72,14,304,51 
34,0.816875,71,14,303,53 
