slice,percent,common,1cee_B.pdb,2k42_A.pdb,noise 
1,0.0,26,6,54,0 
2,0.0006249999999999867,28,6,60,0 
3,0.00187499999999996,31,7,59,0 
4,0.0050000000000000044,31,7,62,0 
5,0.007499999999999951,30,7,66,0 
6,0.012499999999999956,34,7,68,0 
7,0.02562500000000001,35,7,71,0 
8,0.04249999999999998,37,7,72,0 
9,0.06625000000000003,41,8,71,0 
10,0.083125,42,8,73,0 
11,0.11750000000000005,44,8,77,0 
12,0.14625,46,8,78,0 
13,0.20687500000000003,47,8,81,0 
14,0.26875000000000004,49,8,84,0 
15,0.31625000000000003,49,8,90,0 
16,0.37687499999999996,52,9,93,0 
17,0.441875,54,9,103,0 
18,0.49,58,10,109,1 
19,0.5487500000000001,61,10,116,1 
20,0.578125,63,11,131,1 
21,0.6231249999999999,66,11,140,1 
22,0.645625,70,11,160,1 
23,0.6756249999999999,77,11,171,2 
24,0.705625,82,11,190,5 
25,0.7224999999999999,86,11,207,8 
26,0.73875,91,11,222,8 
27,0.75,93,11,239,14 
28,0.759375,100,13,254,15 
29,0.7675,102,14,260,17 
30,0.78125,105,15,270,17 
31,0.790625,105,16,275,18 
32,0.799375,108,16,279,21 
33,0.8075,110,17,283,21 
34,0.816875,113,17,286,20 
35,0.828125,114,17,287,20 
36,0.8375,113,17,289,20 
37,0.84625,114,17,289,20 
38,0.854375,114,17,291,19 
39,0.870625,114,16,292,19 
