slice,percent,common,1rep_C.pdb,2z9o.pdb,noise 
1,0.0,274,49,48,4 
3,0.0004912395611593734,290,25,71,6 
5,0.0018012117242508507,317,28,81,8 
7,0.007368593417389935,364,37,92,9 
9,0.01801211724250862,406,55,105,12 
11,0.040772883576223995,461,73,114,16 
13,0.07630587850008186,518,95,131,20 
15,0.11855248075978386,580,118,155,24 
17,0.17635500245619784,641,148,172,37 
19,0.2503684296708695,698,176,193,49 
21,0.33256918290486326,747,203,216,69 
23,0.40756508924185364,793,224,238,95 
25,0.4859996725069592,835,253,252,135 
27,0.5639430162109056,873,278,274,162 
29,0.6435238251187163,909,293,287,185 
31,0.7181922384149337,930,307,294,208 
33,0.785000818732602,947,318,303,224 
34,0.8432945799901752,961,324,307,230 
35,0.8937285082691993,967,331,312,229 
36,0.9367938431308335,976,329,315,224 
37,0.9667594563615524,980,330,317,217 
38,0.9806779105943999,987,331,320,207 
