slice,percent,common,1rep_C.pdb,2z9o.pdb,noise 
1,0.0,274,49,48,4 
2,0.0004912395611593734,349,73,68,12 
3,0.0018012117242508507,430,96,90,27 
4,0.007368593417389935,503,124,112,57 
5,0.01801211724250862,556,155,136,97 
6,0.040772883576223995,616,170,155,153 
7,0.07630587850008186,657,202,172,206 
8,0.11855248075978386,704,232,191,268 
9,0.17635500245619784,755,256,208,318 
10,0.2503684296708695,786,272,228,360 
11,0.33256918290486326,806,297,239,385 
12,0.40756508924185364,829,311,248,408 
13,0.4859996725069592,839,322,255,423 
14,0.5639430162109056,846,325,260,429 
15,0.6435238251187163,847,325,266,433 
16,0.7181922384149337,841,333,271,428 
17,0.785000818732602,842,338,264,431 
