slice,percent,common,1rep_C.pdb,2z9o.pdb,noise 
1,0.0,255,27,74,7 
2,0.0004912395611593734,271,26,80,7 
3,0.0018012117242508507,307,29,86,8 
4,0.007368593417389935,345,38,104,10 
5,0.01801211724250862,394,45,118,10 
6,0.040772883576223995,439,63,129,13 
7,0.07630587850008186,490,79,148,20 
8,0.11855248075978386,560,89,174,26 
9,0.17635500245619784,629,111,196,30 
10,0.2503684296708695,683,144,215,34 
11,0.33256918290486326,747,168,236,41 
12,0.40756508924185364,804,192,257,51 
13,0.4859996725069592,869,219,284,57 
14,0.5639430162109056,915,244,312,67 
15,0.6435238251187163,960,264,326,77 
16,0.7181922384149337,991,278,339,83 
17,0.785000818732602,1014,289,348,93 
18,0.8432945799901752,1033,292,359,95 
19,0.8937285082691993,1040,296,363,97 
20,0.9367938431308335,1052,296,364,93 
21,0.9667594563615524,1055,299,362,91 
22,0.9806779105943999,1059,302,357,91 
