slice,percent,common,5ond.pdb,6c6s.pdb,noise 
1,0.0,172,6,61,0 
3,0.0004982836895138787,156,3,81,0 
5,0.0022699590300077066,155,3,83,0 
7,0.006256228546118958,156,2,83,0 
9,0.01256782194662831,153,3,86,0 
11,0.026076846417893873,154,3,87,0 
13,0.053039530506034716,155,4,86,0 
15,0.10862584431402944,154,5,87,0 
17,0.20285682648654635,155,5,87,0 
19,0.3269294651755066,157,3,88,0 
21,0.45775661610009966,160,4,87,0 
23,0.5800575794485661,162,3,88,0 
25,0.6776104528845089,165,4,88,0 
27,0.7469826154357214,167,4,90,0 
29,0.801406267301517,170,4,92,0 
31,0.8414904218801904,172,4,95,1 
33,0.8668475251910087,179,5,96,0 
35,0.8838999003432622,186,3,97,0 
37,0.8945299523862252,192,3,98,0 
39,0.9052153692835788,198,3,98,0 
41,0.9127449894806776,200,3,101,0 
43,0.9199424205514339,205,4,101,0 
45,0.9263093788063337,210,4,103,0 
47,0.9317904993909866,219,4,104,0 
49,0.9370501605580778,226,7,104,0 
51,0.9441922267744436,232,9,106,0 
53,0.9511681984276381,241,13,110,0 
54,0.9585317240615657,256,14,119,0 
55,0.9645664931901229,278,20,130,0 
56,0.9702690731923375,301,30,149,2 
57,0.9739785184364965,335,39,170,6 
58,0.9783523419333408,378,62,194,11 
59,0.9806776658177389,421,93,218,33 
60,0.9830583545565276,462,133,241,57 
61,0.9847746650426309,500,163,269,83 
62,0.9858819621304395,518,189,290,110 
63,0.9867677998006865,532,202,308,120 
64,0.9879304617428856,536,211,315,126 
65,0.9889823939763038,541,212,321,127 
66,0.9903665153360647,546,213,322,126 
67,0.9909755287343595,547,214,324,126 
68,0.9914184475694829,548,215,326,124 
69,0.9920274609677776,550,214,326,124 
