slice,percent,common,5ond.pdb,6c6s.pdb,noise 
1,0.0,172,6,61,0 
2,0.0004982836895138787,174,6,66,0 
3,0.0022699590300077066,177,8,68,0 
4,0.006256228546118958,179,8,71,0 
5,0.01256782194662831,183,9,71,1 
6,0.026076846417893873,187,10,72,1 
7,0.053039530506034716,194,11,74,1 
8,0.10862584431402944,200,11,75,1 
9,0.20285682648654635,207,13,78,1 
10,0.3269294651755066,211,15,82,2 
11,0.45775661610009966,219,20,86,3 
12,0.5800575794485661,231,25,95,3 
13,0.6776104528845089,252,32,107,4 
14,0.7469826154357214,277,40,121,12 
15,0.801406267301517,302,58,135,26 
16,0.8414904218801904,333,89,156,43 
17,0.8668475251910087,372,119,184,71 
18,0.8838999003432622,399,160,215,105 
19,0.8945299523862252,427,193,236,150 
20,0.9052153692835788,441,226,252,183 
21,0.9127449894806776,448,246,263,202 
22,0.9199424205514339,448,256,264,219 
23,0.9263093788063337,447,262,267,225 
24,0.9317904993909866,449,264,273,221 
25,0.9370501605580778,452,266,271,222 
26,0.9441922267744436,453,269,268,223 
27,0.9511681984276381,444,274,271,225 
