slice,percent,common,5ond.pdb,6c6s.pdb,noise 
1,0.0,130,9,98,3 
2,0.0004982836895138787,133,9,98,0 
3,0.0022699590300077066,134,8,100,0 
4,0.006256228546118958,134,7,101,0 
5,0.01256782194662831,134,8,101,0 
6,0.026076846417893873,134,8,103,0 
7,0.053039530506034716,134,9,103,0 
8,0.10862584431402944,136,9,102,0 
9,0.20285682648654635,139,9,100,0 
10,0.3269294651755066,142,8,99,0 
11,0.45775661610009966,143,8,101,0 
12,0.5800575794485661,144,9,101,0 
13,0.6776104528845089,146,9,101,2 
14,0.7469826154357214,147,10,103,2 
15,0.801406267301517,149,10,105,3 
16,0.8414904218801904,155,11,104,3 
17,0.8668475251910087,161,10,107,2 
18,0.8838999003432622,164,11,110,1 
19,0.8945299523862252,168,11,113,1 
20,0.9052153692835788,173,11,114,1 
21,0.9127449894806776,179,11,113,1 
22,0.9199424205514339,183,13,113,1 
23,0.9263093788063337,190,12,114,1 
24,0.9317904993909866,197,12,115,1 
25,0.9370501605580778,203,13,118,1 
26,0.9441922267744436,209,14,121,1 
27,0.9511681984276381,218,17,126,1 
28,0.9585317240615657,231,19,136,1 
29,0.9645664931901229,257,21,146,2 
30,0.9702690731923375,283,29,168,2 
31,0.9739785184364965,320,38,188,4 
32,0.9783523419333408,366,53,218,8 
33,0.9806776658177389,427,75,250,13 
34,0.9830583545565276,486,109,280,17 
35,0.9847746650426309,534,141,317,23 
36,0.9858819621304395,564,160,352,31 
37,0.9867677998006865,588,172,367,35 
38,0.9879304617428856,598,180,371,39 
39,0.9889823939763038,604,186,372,39 
40,0.9903665153360647,605,189,374,39 
41,0.9909755287343595,608,189,374,40 
42,0.9914184475694829,610,187,376,40 
43,0.9920274609677776,609,188,377,40 
